date,정석학술정보관,H-M MAIN,HO-M MAIN,HN-M MAIN,본관,5호남관,김현태 인하드림센터,"9호관,평생교육원",60주년,서호관,하이테크센터,로스쿨관,학생회관,"2호남관, 4호관",5호북관,"2호북관,2북신관",인하드림센터 3관,5호동관
348,2306.482081484112,975.2785286294737,395.7903274165129,933.238238896625,91.51193994759359,149.24217367302296,22.843827554077873,141.9610964405694,447.57730073339997,119.86934989918127,235.8272714496461,72.83186155844031,103.33191243530912,280.18500271148156,212.48499446067405,280.1903745413659,12.395226901893285,205.05024589860074
349,2148.601756188262,889.4305199323367,370.97149530876993,952.9580980431439,81.52390632173775,145.73652151016103,19.427957126763822,127.29819806262988,397.20050028887744,94.80429255763065,227.57280855330058,67.2638656603608,87.95322731274233,272.7611183525173,203.66578404408747,272.7581361136378,12.234046339169643,194.4276677943117
350,2430.472403480849,1067.6648493688058,416.731572437811,1031.770061545494,102.11330846027141,166.2310279557331,26.45542983702994,155.18390992839858,477.09892857136714,121.37373838611614,255.35632625595986,78.54208620674575,114.19678515398726,314.497693719932,207.96623132697562,314.4996769047909,15.906035594867728,223.60550532431637
351,2283.1038888574203,907.626377135167,386.71437595148205,1227.2128707630154,91.7962371105149,153.02741463953217,21.95656312850958,138.61710875465812,435.65455684078245,112.27541486102409,249.83534318973315,72.97447398276182,96.26858692159338,302.4273095154005,234.99677534151309,302.4199403213355,14.355360895586328,207.75110029017225
352,2424.0881039026985,1121.728222009274,418.59261143312983,1026.0600872799753,101.90365174323541,173.6631962092439,26.370248368687612,149.95992761277907,473.08621170083455,120.4474611135866,253.63092106914215,79.85351640305234,137.4622884952856,311.55592115466715,218.38034132972902,311.55283189377167,17.62582821191957,223.1919300625101
353,2405.883147044403,1076.247497273425,378.3509538398606,1039.110727897074,101.80530062891174,164.3286088353213,24.455445413581582,143.9476338078332,440.75674717165305,121.75475147378036,251.95807772811528,80.72058610524991,129.32090965248412,324.5236261363911,284.4311532087109,324.513681864482,17.352935488306294,219.37108102719066
354,2416.598166950451,1235.8218025517822,442.3726779280697,1050.9115457207222,119.8671724429707,181.59496694841152,31.861846639906258,165.26522950487174,496.5669851878123,141.38232076142137,288.07099746188857,91.28194249391841,126.21724851676281,347.7681849008352,267.7757275127006,347.7605703261891,22.449846765927557,245.6523772267751
355,2463.0387422311455,1116.7157121137875,449.7258960815819,1068.4828676931284,118.98503601152325,188.24895009353563,31.23210250727219,170.66961632466428,513.4821954800525,144.5710652098463,299.4116689739718,96.21548454411095,122.71123570138741,366.36796943467886,313.70220735346356,366.35297673138757,23.160738886142223,255.29249433645577
356,2728.0013112615875,1238.6691120482953,447.47991164665143,1095.0342530054413,115.21022903041533,182.04655388159915,30.39903498314138,178.39875742408327,504.2794320161102,149.53782860631605,274.4392795754949,93.66151722761191,127.64452386154163,346.42730333018955,272.2154834567746,346.4200763708583,20.064263752594638,252.49755099325168
357,2410.340411848224,1084.1632827504056,442.92403504685296,1125.1134346721724,105.19017884825695,174.1862087573718,27.279611130284643,165.16635303209537,485.617378235131,131.3303166940884,273.17069635780445,89.7914030058854,112.57436633245624,344.2458274270129,264.47589134340575,344.23740582490154,18.893023419306434,249.05123179228693
358,2684.6309791580265,1145.1078852790754,435.7602816240893,1066.0074212059242,113.05120459471354,179.19694945481874,29.60544598461353,164.60236283606488,475.572403878305,127.82604254982661,271.18976504027887,88.553705857143,121.54712503683001,333.4180195930513,246.40657900656683,333.41191240425917,18.889958321637813,240.83383005995023
359,2170.486810053068,805.6215827941647,388.65339882795286,974.8254856678251,89.69572768839208,155.36611825478212,23.140895798541578,139.26336097402668,432.37146272660925,110.38704342154932,249.4395195145542,74.71196533154792,101.8538400554806,301.70414048562327,192.02890364907643,301.698867438809,14.955343970045277,211.9611985796887
360,2394.7944145039405,945.4547930344487,390.71494010797056,941.4154522160654,90.95121540535746,144.97539009058292,20.817877818060754,130.8371118452028,429.7912343893726,115.89070996425255,234.0670824197909,70.07917057120727,98.4566767140348,281.30118456352307,215.5731709407126,281.2995196357681,11.662700041639198,202.15220709883496
361,2014.3904135714208,862.8546948005106,353.72445591632334,900.1937338334656,76.42560294998681,136.0808855952466,18.557388511765584,116.27912995963719,392.26907872874824,94.79632257767551,222.3500030910011,62.50483435647106,82.73647002092576,262.10743600004366,204.64788505510919,262.0987238206937,11.56661338803206,181.41985540705866
362,2459.948881647749,1033.8143761706326,413.59407962653324,1022.4766146561689,104.40950386757102,160.11604729355867,24.634023011403457,144.90424206512955,461.4284656742955,118.94269646266632,255.8321296516129,75.1922018139229,110.06698714143745,314.36749995389,211.71364236009447,314.3641540096331,15.113709468263542,219.34660833324796
363,2173.2692366810797,879.7774291284711,375.27096876612814,1157.7419061770138,88.5847532666753,144.37560551481184,21.17737446865207,127.78430858586603,428.74937667469925,111.47905444800807,247.9344259430107,69.03647573769719,91.88158913347326,294.5528345965135,236.06233946599238,294.54713915852545,13.704394857880601,196.3566974944118
364,2414.2413274194364,1085.0726354721805,416.9411277761002,1004.5350542577258,103.36343383316785,166.28507247744977,24.66391816268006,140.15052882747625,459.06680629773535,118.80034461756422,253.18465670234792,77.2090754990135,118.59756849345047,310.61058142405045,220.3529613374376,310.6048108310831,16.874969843586186,216.67762085113367
365,2310.7228363171707,1040.8577825277528,368.50895414079133,993.2639301399136,98.91490915270822,155.8542640723124,23.603083497544105,134.23921411127904,432.48675442293495,120.70580374202034,250.46419506682813,77.14139801028267,110.21309328420863,318.17487140683676,280.02172992757875,318.1693272171951,16.641527671151813,209.14396458442206
366,2392.1134087449254,1194.9604273201405,438.8771440927597,1023.9485928910511,122.46156051662996,173.42715190509688,30.077259484126074,154.74674495965883,482.9753052946965,139.73270202314072,287.88054803275605,88.71072862850875,123.05641708817107,346.4793211867478,266.68491549954484,346.47240996992014,21.565006216419974,238.49492636177456
367,2382.5092063692814,1080.6577053882665,441.2443000629145,1028.7883866138925,117.61610659201355,179.10802681456363,30.24514792950491,159.86977862062864,503.0857530118551,143.2092032663411,298.5051307866782,91.93073912657039,119.50333166610784,361.30323454452935,307.8125678755933,361.29666094077027,22.271328618481775,244.80701252112888
368,2680.6326380394285,1198.0982644238477,443.70662832273325,1061.0051913090747,116.82296433241288,173.54281912994037,28.756524621464216,167.14279418665365,491.2024185470704,146.43690683765846,273.60236506938253,90.36752413067933,124.66752934021412,343.7824092096448,264.7832460437031,343.7742862979271,19.283715463066734,244.3921355880742
369,2342.5805585103885,1049.4404977922632,434.93825762327526,1080.672607909006,103.54510860520648,165.5693487698262,26.19646318225944,154.6566572845446,475.1697644332033,129.88954370644757,271.4645928887169,86.33207634859684,109.28294000175654,339.14522252737805,257.6957997157352,339.14080375020325,18.150900194917874,238.62046683097435
370,2626.389695659541,1107.8784754267813,430.58031647269223,1028.7588189161957,114.22760983064407,171.0543427478025,27.96173946515412,154.78283867360972,463.20198374783905,126.44379630099527,269.76265989165205,85.6933997631553,118.09086501649355,330.8285754566721,242.97006255437134,330.8237441161735,18.156788357001798,233.43412558000423
371,2115.9208568156137,781.5790454778149,379.9750040189735,942.4698953608363,87.40349400286398,147.8580877428553,22.210198019532726,130.42604366729054,422.4432802921034,109.14114999995772,247.12142831209025,71.70900618359383,98.13037311636756,296.4659653979144,193.64296801884942,296.4597375318277,14.353486545800534,203.11115309958382
372,2341.1997848295537,916.6766611634681,384.2423310358072,910.356754688466,90.51485180737737,138.17576904327822,19.74165363874057,122.6972214190704,418.85165747314556,114.53329172153431,232.17379579148297,67.47942246132307,95.77728525879168,277.8126042341134,215.60826244459358,277.808521001478,11.18664404720844,195.0069010129593
373,1965.0245025663723,836.5825510930908,346.1793603081058,870.2915422081087,74.64126920943407,129.56632104935937,17.77553647844037,108.94738238287775,383.0649620705195,93.70885153437115,220.33490252611068,60.027147138154064,80.30402483687172,257.7857902646033,204.861836045982,257.77607599074673,11.095258895105617,174.04485857759508
374,2403.7944110555354,1002.3602797127137,406.68137903488287,988.8225191648595,103.88544448000829,152.5722571214654,23.408748940243427,135.93284330822283,449.87297476195846,117.56216073889965,253.84617876712034,72.37078803857895,107.12535809953702,310.25621888522653,211.68156358889362,310.2505376544352,14.510338744262631,211.40683750867322
375,2120.960594474293,852.99711696181,367.84678232676526,1119.9423678446415,86.80502329469729,137.5005475757699,20.27497129504893,119.78120435090027,418.5567634340691,110.19575633142904,245.87051886096856,66.37274355473929,89.28515097025755,289.9534268308419,236.31511045454232,289.9469196364449,13.154594822843789,188.5681165573325
376,2358.539792374803,1052.0702226298429,409.9375880102467,971.575660448705,102.65005387803141,158.42883122411348,23.460406395155097,131.46494151698087,447.6867963057938,117.42687262219648,251.16866534861228,74.3394009752658,114.5921421162801,306.4155212572195,220.4986669673427,306.40778882947245,16.207217264568555,208.6644018316075
