date,정석학술정보관,H-M MAIN,HO-M MAIN,HN-M MAIN,본관,5호남관,김현태 인하드림센터,"9호관,평생교육원",60주년,서호관,하이테크센터,로스쿨관,학생회관,"2호남관, 4호관",5호북관,"2호북관,2북신관",인하드림센터 3관,5호동관
2024-05-01,3705.5254590426534,1325.2822565057352,610.0257065614322,1415.6497127524149,198.16154717420778,278.0314361876414,69.37961209275382,266.2061047733224,572.1971842228846,145.4172616221549,331.8263626455257,123.72562184516939,231.22084398504134,413.4951434239633,269.205628972789,413.4989806073461,21.200209963029128,352.46071142509703
2024-05-02,3655.9914941653574,1321.6674511597532,602.2771747658555,1383.967180734235,187.2456103651699,265.4427317934012,66.86209508162051,251.01412413489444,562.6741375098336,142.48156669771095,325.86421829983027,116.67483700254019,221.6838658497633,403.849820571779,279.81907671091597,403.84569101791215,20.907114226351105,337.48373333879795
2024-05-03,3745.0857765405613,1403.6960231958228,659.97527482509,1489.9090969721942,214.58029047191485,289.52934423368816,70.27496348481573,277.85993394892614,593.0530669779239,157.98620637948383,352.0722768726701,131.19459573537034,250.01101975563466,440.91862889811483,277.6968017683102,440.92546730216986,22.754530151224497,371.42392228814737
2024-05-06,3539.586358035809,1416.8549157714474,600.9321956206561,1365.3875583719944,206.68364498499318,276.36919213497976,69.38065373160997,255.45853516502254,562.4844757001342,154.64317543671336,339.458767280551,127.95457547432454,240.79092645195396,407.45333374347445,285.967949592915,407.4580779772741,23.106833939148938,359.583550958425
2024-05-07,3625.6589756670896,1373.7444984416825,617.8682412514748,1392.5648327260742,194.7223959151848,264.1566658892584,61.771315577258704,253.45571963239183,547.9720503251227,141.5078578018528,323.77339412749876,119.83047510571652,223.75069709215774,404.20782559193424,248.58261650655385,404.2153279061769,20.010538645956913,337.1334475684321
2024-05-08,3674.3309838762802,1285.2058112356372,588.015625853686,1302.3153587448037,186.14994866177102,258.7704457935992,59.61092181321227,246.91597127304675,519.5936134498005,139.81459397329084,314.41589919353,112.96080059335644,219.58807202156459,389.9034694800427,236.23706187145174,389.9125153981266,20.95600971162108,330.9467406468983
2024-05-09,3850.1139302305414,1267.730601767028,593.0231031814332,1352.0883759468943,188.6477956381324,254.07127797827363,60.409488842617066,239.9062732521753,520.4253294252377,137.6826556662964,310.0389963697077,116.2937386303485,218.0795479336859,383.71616177331885,252.36738809801034,383.7244913044875,20.174243067533666,332.7651242418773
2024-05-10,3752.707671200442,1382.2298819363332,638.707004135831,1444.6978669639361,207.93226945169386,275.18127427012166,70.29095187512694,267.2903456031121,569.912697253311,153.51002480769424,335.88059473894094,128.12242322882506,235.47433384100043,415.65356312435773,272.7480159920618,415.6620340081183,24.02537846329087,352.8731922887447
2024-05-13,3670.2355579281466,1386.355563900546,627.6560605090958,1378.9490960240073,208.38334153861678,281.53226508177704,70.84350089345271,268.84572602759715,568.3763166044031,157.4679285469772,347.24477257641524,126.87839019178233,241.38245098661292,427.67703425141326,272.40478929483464,427.682912687991,24.29254559679118,360.4817183208937
2024-05-14,3641.7256887871777,1276.072348556173,593.6160641321201,1362.7366612240312,195.08936299454652,263.85488714743957,64.37089272962444,254.12984073844228,535.5629514529792,144.55767343920854,325.1464202842044,117.62396418224336,225.55127464785647,408.543052839782,262.29971924208843,408.55136716178623,21.90411451164816,341.2921560892753
2024-05-15,3508.3237902850806,1240.2302029924358,571.2910774798069,1274.2831611461497,186.62670291478258,241.77541093495162,64.40808880738052,231.3170566592167,524.1963170079946,141.3082183719455,307.81277253369103,114.30796888344513,208.20371803897518,375.7048183197652,284.8840429384685,375.70383129279776,21.945356729984407,313.4022536752912
2024-05-16,3769.9767082827266,1349.4182461297491,610.9877795181596,1345.4048083734938,196.3205767446671,261.8020257312474,64.80785454341114,251.96476480106637,546.5731093985951,144.50358208018093,324.85684790235445,116.78058824461316,234.31278050692174,404.664848521266,256.82660801748995,404.66598436363097,22.346609651914132,337.7194510334632
2024-05-17,3707.5125170028573,1305.4696080366693,604.6086698156065,1380.2215870060604,201.26930685070258,269.1511876701852,66.97461703328274,257.58657398036206,553.3262754812816,145.66727860474276,327.77949208451435,119.09449530059238,231.9895745984218,409.3456421530866,260.3186182094032,409.35243761944395,23.35626841212337,343.04808996480284
2024-05-20,3640.012101195715,1304.6960771904085,600.2271474980312,1367.7801103588108,188.39356544049426,259.80905895750686,65.32435829408118,246.33390657347576,551.6830097140926,142.8213307514584,324.4483506878736,114.08890577663907,221.53122582139378,401.57239729440573,277.0288625377315,401.5716430060028,22.47212823197235,332.3330033710622
2024-05-21,3717.2373221615617,1386.754335145236,653.4846575183211,1470.9232799201777,214.98185574548313,283.19492102851444,69.01498393708968,272.3155080872181,583.9220512808535,157.62258793610386,350.3085392935547,129.24426957053043,248.15348802388957,436.02284891213964,277.0998812503532,436.0321917195127,24.05725802401807,366.1240321279647
2024-05-22,3584.0944375044564,1403.6729108090005,606.6248722216212,1369.8092882391506,206.9889021390407,272.53062786955945,68.57787588394798,258.6823455272528,558.1994710363734,154.69348525575646,338.5383190383743,126.75982635666806,243.11000707185156,409.08912867054795,286.16336907492314,409.0962010548827,24.274548057066227,357.7254392203081
2024-05-23,3584.3211032774047,1358.3047390263077,612.9661038885764,1376.5136095668936,194.61315203913966,259.1241369267442,61.275891303042265,247.56382765126173,542.7022463179459,141.25135947303863,322.7444036871393,118.78424088576232,222.81705433902582,401.50671543793993,249.0704664884028,401.51599736878154,20.650749960551256,332.6202082777854
